name	ghidra_addr	body_bytes	callees	callers
Compare	00082f80	64	0	1
Compare	00082fc0	68	0	1
IndexOf	00083004	100	0	1
IndexOf	00083068	10	0	1
ReplaceChar	00083070	50	0	0
ToUpperCase	000830a4	124	0	1
ToLowerCase	00083128	112	0	0
Trim	000831a8	114	4	1
Split	0008322c	170	8	0
Array	000832f0	28	1	1
ArrayAdd<AbyssEngine::String*>	0008330c	36	1	1
ArrayRemoveAll<AbyssEngine::String*>	00083330	34	2	1
~Array	00083352	22	1	1
SplitTags	00083368	366	14	1
ReplaceString	00083530	208	7	0
GetStringLength	00083634	16	0	1
PrintOut	00083644	16	1	0
operator+	00083654	12	1	1
operator+	00083660	92	5	0
operator+	000836dc	76	5	0
operator+	0008373c	90	5	1
String	000837b4	34	1	1
operator+	000837dc	74	5	1
operator+	00083838	90	5	0
operator+	000838b0	74	5	0
operator==	0008390c	76	4	0
operator[]	00083960	11	1	2
operator=	0008396c	63	0	23
operator-=	000839ac	207	0	1
operator*=	00083a08	151	0	1
operator/=	00083a64	127	0	0
operator-	00083aa4	163	0	2
operator-	00083afc	107	0	1
operator*	00083b60	163	0	7
operator/	00083bb4	115	0	0
operator/	00083c10	143	0	0
operator!=	00083c7e	64	0	1
operator<	00083cbe	68	0	0
operator>	00083d02	68	0	0
operator<=	00083d46	68	0	0
operator>=	00083d8a	68	0	0
VectorIsEqual	00083dce	26	0	0
VectorDot	00083dd2	42	0	1
VectorCross	00083dfc	62	0	1
VectorNormalize	00083e3c	60	1	8
VectorLength	00083eb8	52	0	1
VectorLerp	00083eec	66	0	3
Merge	00083f30	202	4	1
Merge	00084000	324	2	1
operator=	00084144	16	0	1
SetApplicationManager	00084154	8	0	1
CurveCreate	0008415c	56	3	0
CurveGetValue	00084194	398	1	0
CurveRelease	00084322	86	2	0
CheatCode	00084378	30	2	1
Array	000843a4	28	1	1
~CheatCode	000843c0	26	2	1
~Array	000843da	22	1	1
Update	000843f0	88	0	1
CheatHandler	00084448	42	2	1
Array	00084480	28	1	1
~CheatHandler	0008449c	94	4	1
ArrayRemoveAll<AbyssEngine::CheatCode*>	000844fe	34	2	1
~Array	00084520	22	1	1
AddCheatCode	00084538	190	5	0
ArrayAdd<AbyssEngine::CheatCode*>	0008460e	36	1	1
ArrayAdd<unsigned_short>	00084632	36	1	1
SetCheatFunc	00084656	6	0	0
Update	0008465c	66	1	0
Transform	000846a0	394	9	2
Array	00084880	28	1	1
Array	0008489c	28	1	1
Array	000848b8	28	1	1
~Array	000848d4	22	1	1
~Array	000848ea	22	1	1
~Array	00084900	22	1	1
Transform	00084918	508	17	2
ArraySet<AbyssEngine::KeyFrame*>	00084b6c	12	0	1
ArrayAdd<AbyssEngine::Transform*>	00084b76	36	1	1
CollectAnimationData	00084b9a	162	1	1
SetAnimationState	00084c3c	8	0	6
SetAnimationSpeed	00084c5c	6	0	1
InitAnimationRangeInTime	00084c62	102	2	1
Update	00084cc8	12	0	4
SetAnimationRangeInTime	00084e90	292	2	1
SetAnimationRangeInKeyFrames	00084fb4	80	1	0
SetAnimationLength	00085004	10	0	1
PauseAnimationWithKeyFrame	0008500e	52	1	0
InternUpdate	00085048	2024	19	1
PauseAnimationWithTimeStamp	00085888	24	1	0
AddKeyFrame	000858a0	130	4	0
KeyFrame	00085934	102	3	1
ArrayAdd<AbyssEngine::KeyFrame*>	000859a0	36	1	1
InsertKeyFrame	000859c4	68	1	1
UpdateKeyFrames	00085a08	1288	1	1
InsertKeyFrame	00085f10	1178	8	1
InsertKeyFrame_old	0008640c	3778	12	0
IsRunning	000873fa	42	0	1
SetCurrentAnimationTime	00087424	6	0	1
SetVFCFlag	0008742a	78	1	1
InCameraVF	00087478	300	6	1
~Transform	000875a8	64	5	2
ArrayReleaseClasses<AbyssEngine::KeyFrame*>	000875e8	72	2	1
SetVisible	00087630	6	0	1
ArraySet<AbyssEngine::KeyFrame*>	00087636	60	2	0
PaintCanvas	00087674	370	13	1
Array	0008787c	28	1	1
Array	00087898	28	1	1
Array	000878b4	28	1	1
Array	000878d0	28	1	1
Array	000878ec	28	1	1
Array	00087908	28	1	1
Array	00087924	28	1	1
Array	00087940	64	2	1
Array	0008798e	28	1	1
~Array	000879aa	22	1	3
~Array	000879c0	22	1	1
~Array	000879d6	22	1	1
~Array	000879ec	22	1	1
~Array	00087a02	22	1	1
~Array	00087a18	22	1	1
~Array	00087a2e	22	1	1
~Array	00087a44	22	1	1
~Array	00087a5a	22	1	1
~PaintCanvas	00087a70	394	21	1
ReleaseAllResources	00087c84	552	17	1
~ResourceTexture	00087ebc	20	1	1
~ResourceMesh	00087ed0	20	1	1
~ResourceTransform	00087ee4	32	1	1
ArrayRelease<AbyssEngine::Mesh*>	00087f04	20	1	1
ArrayRelease<AbyssEngine::AEMath::Matrix>	00087f18	20	1	1
ArrayRelease<unsigned_int>	00087f2c	20	1	1
SetResourceList	00087f40	16	0	0
ArrayAdd<AbyssEngine::Resource*>	00087f4e	54	2	0
AddResource	00087f84	14	0	1
ArrayAdd<AbyssEngine::Resource*>	00087f90	36	1	0
GetMeshResourceId	00087fb4	86	1	0
GetMeshResourceId	0008800a	76	1	0
GetTextureResourceId	00088056	76	1	0
GetReverseString	000880a4	78	4	0
GetReverseString	00088104	112	6	1
CheckString	00088194	46	1	0
DrawString	000881c0	82	2	0
SetTexture	00088212	8	0	1
DrawString	00088218	90	3	4
DrawStringColor	00088274	308	16	0
GetColor	000883d4	82	0	1
GetTextWidth	0008842c	48	1	1
SetColor	00088460	128	1	3
ArrayReleaseClasses<AbyssEngine::String*>	000884e8	74	1	1
DrawRegion2D	00088538	686	10	1
SetWorldViewMatrix	00088810	8	0	1
DrawRegion2D	00088818	538	12	0
RestoreImage2D	00088a60	204	0	1
MeshSet2DMask	00088b30	48	1	0
MeshClear2DMask	00088b60	6	0	0
DrawImage2D	00088b68	200	7	3
DrawImage2D	00088c48	312	7	3
GetImage2DWidth	00088d9c	24	0	8
