class	method	ghidra_addr	body	callees
Status	inPlanetRingOrbit	000bbc9c	52	2
Status	orbitHasPlanetRing	000bbcd0	34	0
Status	inStormOrbit	000bbcf2	66	3
Status	inSupernovaSystem	000bbd34	44	2
Status	getSystem	000bbd60	6	0
Status	inFogSkyboxOrbit	000bbd66	50	2
Status	inSupernovaOrbit	000bbd98	34	2
Status	inDeepScienceOrbit	000bbdba	50	2
Status	inBlackMarketSystem	000bbdec	34	2
Status	inPirateLootOrbit	000bbe0e	50	2
Status	hardCoreMode	000bbe40	30	0
Status	getWantedInCurrentOrbit	000bbe64	130	5
Status	missionFailed	000bbee6	80	2
Status	missionCompleted	000bbf38	1320	25
Status	setJumpgateUsed	000bc4d0	6	0
Status	jumpgateUsed	000bc4d6	12	0
Status	getJumpgateUsed	000bc4e2	6	0
Status	crateCaptured	000bc4e8	12	0
Status	setCapturedCrates	000bc4f4	6	0
Status	getCapturedCrates	000bc4fa	6	0
Status	incEquipmentBought	000bc500	12	0
Status	setBoughtEquipment	000bc50c	6	0
Status	getBoughtEquipment	000bc512	6	0
Status	removeMission	000bc518	150	2
Status	visitStation	000bc5b4	12	0
(free)	ArrayRelease<int>	000bc5c0	20	1
Status	getPlanetNames	000bc5d4	6	0
Status	getPlanetTextures	000bc5da	6	0
Status	getCredits	000bc5e0	6	0
Status	setRating	000bc5e6	6	0
Status	setPlayingTime	000bc5ec	6	0
Status	setKills	000bc5f2	6	0
Status	setMissionCount	000bc5f8	6	0
Status	setLevel	000bc5fe	6	0
Status	setLastXP	000bc604	6	0
Status	setGoodsProduced	000bc60a	6	0
Status	getGoodsProduced	000bc610	6	0
Status	incGoodsProduced	000bc616	12	0
Status	setCredits	000bc622	6	0
Status	checkForLevelUp	000bc628	94	1
Status	getRating	000bc68c	6	0
Status	getLastXP	000bc692	6	0
Status	changeRating	000bc698	36	0
Status	getKills	000bc6bc	6	0
Status	incKills	000bc6c4	24	0
Status	setPirateKills	000bc6e0	6	0
Status	getPirateKills	000bc6e6	6	0
Status	incPirateKills	000bc6ec	24	0
Status	addKills	000bc708	12	0
Status	getMissionCount	000bc714	6	0
Status	getLevel	000bc71a	6	0
Status	unlockBluePrint	000bc728	58	2
Status	isBlueprintUnlocked	000bc762	70	1
Status	incPlayingTime	000bc7aa	16	0
Status	setWingmen	000bc7be	108	5
Status	replaceHash	000bc83c	106	5
Status	replaceHash	000bc8d4	218	7
Status	stringHasToken	000bc9f4	26	1
Status	calcCargoPrices	000bca10	666	20
Status	loadAgents	000bccd4	40	4
Status	getCollectedBounties	000bcd0c	14	0
Status	incCollectedBounties	000bcd1a	16	0
Status	isFreighterMissionStation	000bcd2c	62	0
Status	getFreighterMissionStationBit	000bcd74	74	0
Status	getGammaRayDamagePerSecond	000bcdc0	74	0
Status	loadWanted	000bce18	40	4
Status	isStorylineWanted	000bce52	10	0
Status	wantedBoardAccessible	000bce5c	122	5
Status	activateNewWanted	000bcedc	924	31
(free)	ArrayReleaseClasses<SolarSystem*>	000bd29c	80	3
Array<SolarSystem*>	~Array	000bd2ec	22	1
Status	resetGame	000bd304	1592	44
Array<bool>	~Array	000bd998	20	1
(free)	ArrayReleaseClasses<BluePrint*>	000bd9ac	80	3
Array<BluePrint*>	~Array	000bd9fc	22	1
Array<BluePrint*>	Array	000bda12	28	1
(free)	ArraySetLength<BluePrint*>	000bda2e	52	2
(free)	ArrayReleaseClasses<PendingProduct*>	000bda62	80	3
Array<PendingProduct*>	~Array	000bdab2	22	1
Level	Level	000bdac8	258	2
Level	~Level	000bdbd0	648	19
(free)	ArrayReleaseClasses<AbstractGun*>	000bde5c	74	1
